kudu	activity	run
leaf tailed gecko	activity	hunt
lobster	activity	swim
minke whale	activity	swim
mountain lion	activity	hunt
parrot	activity	replicate
polar bear	activity	run, swim
puffin	activity	excavate
puffin	activity	fly
puma	activity	hunt
quetzal	activity	fly
rabbit	activity	eat
red wolf	activity	reproduce
rock hyrax	activity	run
roseate spoonbill	activity	fly
scorpion	activity	eat
scorpion fish	activity	hunt
sea dragon	activity	hunt
sea turtle	activity	breed
siberian tiger	activity	hunt
striped rocket frog	activity	hunt
sumatran tiger	activity	hunt
tarsier	activity	hunt
thorny devil	activity	eat
vampire bat	activity	fly
parrot	activity	mimic
weasel	activity	hunt
car	howToUse	drive
bike	howToUse	ride
whistle	howToUse	blow
ship	howToUse	sail
plane	howToUse	fly
camera	howToUse	take photos
drum	howToUse	hit
ball	howToUse	kick
boxing gloves	howToUse	wear
shirt	howToUse	wear
piano	howToUse	play
mechanical keyboard	howToUse	type
cigarette	howToUse	smoke
wine	howToUse	drink
soda	howToUse	drink
chocolate	howToUse	eat
Antistress ball	howToUse	squeeze
light switch	howToUse	turn
Headphones	howToUse	plug
syryp	howToUse	drink
dumbells	howToUse	lift
Punching bag	howToUse	hit
bed	howToUse	lay
chair	howToUse	sit
zipper	howToUse	zip
piano	howToUse	play
gun	howToUse	shoot
