What is the shape of X ?	shape
Where is X?	place
what smell X has?	smell
What sound is emitted by X ?	sound
Where is X placed ?	place
what color is X?	color
How is the sound of X?	sound
what is the sound made by X ?	sound
How is the sound of X like ?	sound
what have you seen X do?	activity
When was X?	time
Where is X situated?	place
What X could be confused with?	similarity
what you can recover from X?	part
What is the dimension of X?	size
Which activity do X do?	activity
What X can do ?	activity
What is an instance of X ?	specialization
To do what you use the X?	purpose
What size are the X?	size
What is X made from?	material
What can X be confused with?	similarity
Can X emit any sound?	sound
What constitutes X?	material
What is the taste of X?	taste
What sound does X emit ?	sound
Where is the city of X?	place
What color is X?	color
What does X have?	part
What color is the X?	color
what does X makes you think of?	similarity
What is a specific X?	specialization
When was X dominant?	time
what is the shape of X ?	shape
How can I use X?	how_to_use
How to use X?	how_to_use
How is X?	shape
what shape does X have ?	shape
How is the X?	color
What do I need to make X?	material
What is the length of X?	size
What is X and where is located ?	place
Can X be red?	color
What X can be ?	specialization
What is X flavor Like ?	taste
(Is|Are) (a|an|the)? X similar to (the|a|an)?	similarity
what can X be mistaken for?	similar to
What is the flavor of X like ?	taste
what is X composed of?	material
When was X active?	time
Where can X be found ?	place
Which material X contains?	material
What size is (the|a|an)? X	size
Do you know what kind of activity can X do?	activity
What was X?	generalization
What color do X have?	color
What is X used to?	purpose
Which is the correct way to use X?	how_to_use
How do you use a X?	how_to_use
What is X used for?	purpose
What is X?	specialization
What sound can X emit ?	sound
if you were a X would you be able to do?	activity
How can is used X ?	how_to_use
What is the species of X ?	generalization
What material can X be made up of?	material
Which sound emits X?	sound
when did X happen?	time
What is X able to?	activity
What X is able to do ?	activity
What is the purpose of using X?	purpose
Where are X?	place
When was X introduced?	time
What is a part of X?	part
What is X's taste ?	taste
in which place can X be found?	place
What material is/are this/these X made out of?	material
When X can be used?	time
Where is the city of X located?	place
What does X sing?	sound
When is X ?	time
somewhere in the universe, there is a X doing what?	activity
What X is similar to?	similarity
Where is X?	place
Where is X used?	how_to_use
How is X?	size
What is an example of X ?	specialization
When is X died?	time
What does smell like X?	smell
What is X ?	generalization
How high is X ?	size
When is X open?	time
What is the class of X ?	generalization
which is X size?	size
What X is able to do?	activity
what colour is X?	color
how big is X?	size
When X was created?	time
What X is used for?	purpose
What is the purpose of X ?	purpose
With what purpose do you use a X?	purpose
What is the width of X?	size
What is the taste of X ?	taste
Where is the village of X located?	place
What size is a X?	size
What is the size of X?	size
What is the purpose of X?	purpose
Why do we use X?	purpose
When was X opened?	time
What is the specialization of X?	specialization
What is X and where is located exactly ?	place
How is X?	taste
How do you use X ?	how_to_use
What material can X be made from?	material
What is the form of X?	shape
What material is/are this/these X made from?	material
What does taste like X?	taste
what does X smell like?	smell
Which material is the X?	material
When does X took place?	time
How long was X ?	size
What material is X built of?	material
Where is the village of X?	place
What is the flavor of X?	taste
Why do you use a X?	purpose
How would you use X?	how_to_use
How does X sound like ?	sound
When did X die?	time
What is able to do X?	activity
What is the X woven with?	material
What is X similar to?	similarity
What is the form of X ?	shape
What was a specific X?	specialization
when did X happen?	time
What is the category of X?	generalization
What is X ?	specialization
Where is the town of X located?	place
What shape is X?	shape
What does X taste like?	taste
What is X?	specialization
What is the aim of using X?	purpose
what is similar to X ?	similarity
if you ate a X what would it taste like?	taste
What VB X able to do ?	activity
When was X released?	time
what does X taste like?	taste
What do you do with X?	how_to_use
How is X shaped?	shape
What is X a species of?	specialization
what shape does X have?	shape
What were X made up of?	part
Where is the town of X?	place
Who is X ?	generalization
what's inside X?	part
what does X taste like?	taste
What can I use X for ?	purpose
What is X part of ?	part
What do X is able to do?	activity
which is the right time for X?	time
For what could be used X?	purpose
What is size of X ?	size
When is X used?	time
Who does play for X?	part
In which year it has been created X?	time
When X is used?	time
What are the purpose of X?	purpose
